Time,k,d,n_init,max_iter,seed,n_folds,total_correct,out_of,percent_correct,train_score_T,train_score_B,avg_correct_T,avg_correct_B,model,infolder,result_folder,
Fri Apr 13 17:27:48 2018,4,25,5,400,5555,5,86,151,56.90322581,-130672.8579,-142019.5793,56,57.66666667,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152364504535,0.565692802
Fri Apr 13 17:40:31 2018,5,25,5,400,5555,5,80,151,52.96774194,-116410.4299,-131845.8593,65.33333333,40.66666667,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152364919439,0.454179894
Fri Apr 13 18:37:41 2018,5,25,5,400,5555,5,80,151,52.92473118,-94605.51154,-108209.0784,58.66666667,47.08333333,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152365511109,0.488502674
Fri Apr 13 20:08:19 2018,5,5,5,400,5555,5,99,151,65.61290323,5147.839783,5074.140589,70.66666667,60.75,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152365416017,0.637110297
Fri Apr 13 20:45:00 2018,5,5,5,400,5555,5,90,151,59.67741935,-23959.11223,-23452.53675,69.33333333,50.25,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152364602152,0.532478632
Fri Apr 13 20:55:37 2018,6,25,5,400,5555,5,76,151,50.30107527,-107060.4317,-119403.7973,53.33333333,47.25,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152365937135,0.486128737
Fri Apr 13 22:16:14 2018,6,25,5,400,5555,5,85,151,56.21505376,-83602.0947,-95575.39346,58.66666667,53.58333333,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152366713997,0.529666791
Sat Apr 14 00:04:29 2018,4,25,5,400,6666,5,92,151,60.88172043,-131590.8369,-145360.4467,62.66666667,58.91666667,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152367219479,0.592369556
Sat Apr 14 01:09:26 2018,4,5,5,400,6666,5,100,151,66.27956989,-28816.77786,-31359.22397,64,68.66666667,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152366735677,0.671386253
Sat Apr 14 01:57:37 2018,4,5,5,400,6666,5,79,151,52.34408602,-10228.55015,-11496.22283,49.33333333,55.33333333,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152367886414,0.531370469
Sat Apr 14 02:01:24 2018,4,25,5,400,6666,5,86,151,56.90322581,-109792.6191,-122356.1231,57.33333333,56.33333333,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152368281222,0.555164835
Sat Apr 14 02:22:39 2018,6,5,5,400,5555,5,80,151,52.96774194,-26214.51315,-21202.91134,32,73.5,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152365571549,0.604751346
Sat Apr 14 03:41:10 2018,6,5,5,400,5555,5,83,151,55.03225806,12390.38968,14761.8102,49.33333333,60.83333333,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152366673806,0.566998154
Sat Apr 14 03:49:58 2018,5,25,5,400,6666,5,75,151,49.69892473,-117255.8959,-130659.865,52,47.08333333,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/15236858139,0.476038904
Sat Apr 14 04:51:52 2018,5,25,5,400,6666,5,90,151,59.5483871,-96179.24853,-107637.2473,57.33333333,61.58333333,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152369193357,0.59015873
Sat Apr 14 05:54:35 2018,5,5,5,400,6666,5,100,151,66.30107527,5133.982059,5218.68428,68,64.58333333,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152368702402,0.66255291
Sat Apr 14 07:31:15 2018,6,25,5,400,6666,5,81,151,53.67741935,-105474.6205,-118882.6374,62.66666667,44.66666667,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/15236961398,0.478834499
Sat Apr 14 07:54:25 2018,5,5,5,400,6666,5,83,151,55.05376344,-23959.11214,-26668.91929,68,42.5,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152368550971,0.45506619
Sat Apr 14 09:06:49 2018,6,25,5,400,6666,5,79,151,52.27956989,-83488.249,-96738.02527,60,44.5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152370575211,0.476738204
Sat Apr 14 11:06:50 2018,6,5,5,400,6666,5,94,151,62.34408602,11143.99758,14608.24903,58.66666667,65.91666667,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152369974307,0.634038951
Sat Apr 14 11:23:07 2018,4,25,5,400,7777,5,86,151,56.92473118,-130622.0475,-145963.6289,70.66666667,43.25,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152371145664,0.496475376
